CLIMA_ID,CLIMA_DATA,CLIMA_CHUVA_MM
1,2019-01-01,9
2,2019-01-02,18
3,2019-01-03,3
4,2019-01-04,7
5,2019-01-05,15
6,2019-01-06,0
7,2019-01-07,0
8,2019-01-08,9
9,2019-01-09,0
10,2019-01-10,10
11,2019-01-11,0
12,2019-01-12,0
13,2019-01-13,8
14,2019-01-14,20
15,2019-01-15,0
16,2019-01-16,1
17,2019-01-17,0
18,2019-01-18,25
19,2019-01-19,10
20,2019-01-20,29
21,2019-01-21,30
22,2019-01-22,13
23,2019-01-23,11
24,2019-01-24,8
25,2019-01-25,0
26,2019-01-26,11
27,2019-01-27,3
28,2019-01-28,0
29,2019-01-29,6
30,2019-01-30,0
31,2019-01-31,24
32,2019-02-01,0
33,2019-02-02,28
34,2019-02-03,29
35,2019-02-04,10
36,2019-02-05,0
37,2019-02-06,1
38,2019-02-07,13
39,2019-02-08,0
40,2019-02-09,0
41,2019-02-10,0
42,2019-02-11,0
43,2019-02-12,16
44,2019-02-13,0
45,2019-02-14,0
46,2019-02-15,0
47,2019-02-16,0
48,2019-02-17,0
49,2019-02-18,4
50,2019-02-19,0
51,2019-02-20,0
52,2019-02-21,0
53,2019-02-22,6
54,2019-02-23,0
55,2019-02-24,28
56,2019-02-25,24
57,2019-02-26,0
58,2019-02-27,0
59,2019-02-28,0
60,2019-03-01,0
61,2019-03-02,0
62,2019-03-03,16
63,2019-03-04,14
64,2019-03-05,0
65,2019-03-06,4
66,2019-03-07,6
67,2019-03-08,0
68,2019-03-09,30
69,2019-03-10,0
70,2019-03-11,14
71,2019-03-12,11
72,2019-03-13,0
73,2019-03-14,28
74,2019-03-15,27
75,2019-03-16,0
76,2019-03-17,8
77,2019-03-18,5
78,2019-03-19,0
79,2019-03-20,7
80,2019-03-21,0
81,2019-03-22,0
82,2019-03-23,10
83,2019-03-24,0
84,2019-03-25,15
85,2019-03-26,1
86,2019-03-27,18
87,2019-03-28,25
88,2019-03-29,27
89,2019-03-30,0
90,2019-03-31,0
91,2019-04-01,5
92,2019-04-02,0
93,2019-04-03,11
94,2019-04-04,0
95,2019-04-05,23
96,2019-04-06,0
97,2019-04-07,0
98,2019-04-08,23
99,2019-04-09,13
100,2019-04-10,27
101,2019-04-11,0
102,2019-04-12,0
103,2019-04-13,0
104,2019-04-14,0
105,2019-04-15,28
106,2019-04-16,0
107,2019-04-17,0
108,2019-04-18,29
109,2019-04-19,0
110,2019-04-20,0
111,2019-04-21,24
112,2019-04-22,0
113,2019-04-23,0
114,2019-04-24,0
115,2019-04-25,0
116,2019-04-26,0
117,2019-04-27,16
118,2019-04-28,0
119,2019-04-29,0
120,2019-04-30,0
121,2019-05-01,0
122,2019-05-02,0
123,2019-05-03,0
124,2019-05-04,0
125,2019-05-05,14
126,2019-05-06,18
127,2019-05-07,0
128,2019-05-08,0
129,2019-05-09,0
130,2019-05-10,18
131,2019-05-11,0
132,2019-05-12,16
133,2019-05-13,0
134,2019-05-14,9
135,2019-05-15,10
136,2019-05-16,18
137,2019-05-17,9
138,2019-05-18,27
139,2019-05-19,0
140,2019-05-20,0
141,2019-05-21,0
142,2019-05-22,0
143,2019-05-23,12
144,2019-05-24,14
145,2019-05-25,14
146,2019-05-26,0
147,2019-05-27,0
148,2019-05-28,28
149,2019-05-29,2
150,2019-05-30,0
151,2019-05-31,0
152,2019-06-01,0
153,2019-06-02,0
154,2019-06-03,0
155,2019-06-04,0
156,2019-06-05,22
157,2019-06-06,0
158,2019-06-07,27
159,2019-06-08,0
160,2019-06-09,0
161,2019-06-10,0
162,2019-06-11,21
163,2019-06-12,0
164,2019-06-13,0
165,2019-06-14,22
166,2019-06-15,0
167,2019-06-16,15
168,2019-06-17,8
169,2019-06-18,20
170,2019-06-19,17
171,2019-06-20,3
172,2019-06-21,0
173,2019-06-22,2
174,2019-06-23,0
175,2019-06-24,0
176,2019-06-25,18
177,2019-06-26,23
178,2019-06-27,19
179,2019-06-28,30
180,2019-06-29,0
181,2019-06-30,0
182,2019-07-01,0
183,2019-07-02,0
184,2019-07-03,0
185,2019-07-04,0
186,2019-07-05,0
187,2019-07-06,0
188,2019-07-07,24
189,2019-07-08,0
190,2019-07-09,0
191,2019-07-10,0
192,2019-07-11,0
193,2019-07-12,0
194,2019-07-13,0
195,2019-07-14,6
196,2019-07-15,0
197,2019-07-16,1
198,2019-07-17,28
199,2019-07-18,0
200,2019-07-19,0
201,2019-07-20,13
202,2019-07-21,0
203,2019-07-22,0
204,2019-07-23,0
205,2019-07-24,0
206,2019-07-25,0
207,2019-07-26,13
208,2019-07-27,0
209,2019-07-28,0
210,2019-07-29,15
211,2019-07-30,13
212,2019-07-31,4
213,2019-08-01,22
214,2019-08-02,0
215,2019-08-03,0
216,2019-08-04,29
217,2019-08-05,12
218,2019-08-06,5
219,2019-08-07,0
220,2019-08-08,0
221,2019-08-09,3
222,2019-08-10,30
223,2019-08-11,20
224,2019-08-12,21
225,2019-08-13,0
226,2019-08-14,16
227,2019-08-15,27
228,2019-08-16,0
229,2019-08-17,0
230,2019-08-18,26
231,2019-08-19,0
232,2019-08-20,11
233,2019-08-21,0
234,2019-08-22,0
235,2019-08-23,18
236,2019-08-24,0
237,2019-08-25,29
238,2019-08-26,19
239,2019-08-27,0
240,2019-08-28,25
241,2019-08-29,30
242,2019-08-30,0
243,2019-08-31,0
244,2019-09-01,0
245,2019-09-02,6
246,2019-09-03,21
247,2019-09-04,0
248,2019-09-05,0
249,2019-09-06,2
250,2019-09-07,0
251,2019-09-08,0
252,2019-09-09,0
253,2019-09-10,30
254,2019-09-11,0
255,2019-09-12,0
256,2019-09-13,15
257,2019-09-14,0
258,2019-09-15,0
259,2019-09-16,0
260,2019-09-17,30
261,2019-09-18,26
262,2019-09-19,6
263,2019-09-20,26
264,2019-09-21,0
265,2019-09-22,0
266,2019-09-23,3
267,2019-09-24,24
268,2019-09-25,0
269,2019-09-26,25
270,2019-09-27,0
271,2019-09-28,0
272,2019-09-29,0
273,2019-09-30,0
274,2019-10-01,0
275,2019-10-02,0
276,2019-10-03,7
277,2019-10-04,24
278,2019-10-05,0
279,2019-10-06,0
280,2019-10-07,24
281,2019-10-08,0
282,2019-10-09,0
283,2019-10-10,0
284,2019-10-11,0
285,2019-10-12,0
286,2019-10-13,0
287,2019-10-14,5
288,2019-10-15,4
289,2019-10-16,27
290,2019-10-17,0
291,2019-10-18,16
292,2019-10-19,0
293,2019-10-20,22
294,2019-10-21,3
295,2019-10-22,0
296,2019-10-23,0
297,2019-10-24,0
298,2019-10-25,15
299,2019-10-26,0
300,2019-10-27,0
301,2019-10-28,23
302,2019-10-29,0
303,2019-10-30,0
304,2019-10-31,7
305,2019-11-01,0
306,2019-11-02,0
307,2019-11-03,0
308,2019-11-04,10
309,2019-11-05,8
310,2019-11-06,0
311,2019-11-07,3
312,2019-11-08,0
313,2019-11-09,19
314,2019-11-10,1
315,2019-11-11,0
316,2019-11-12,0
317,2019-11-13,0
318,2019-11-14,0
319,2019-11-15,7
320,2019-11-16,0
321,2019-11-17,7
322,2019-11-18,0
323,2019-11-19,0
324,2019-11-20,13
325,2019-11-21,0
326,2019-11-22,0
327,2019-11-23,0
328,2019-11-24,0
329,2019-11-25,0
330,2019-11-26,0
331,2019-11-27,0
332,2019-11-28,0
333,2019-11-29,28
334,2019-11-30,0
335,2019-12-01,30
336,2019-12-02,3
337,2019-12-03,0
338,2019-12-04,0
339,2019-12-05,4
340,2019-12-06,0
341,2019-12-07,30
342,2019-12-08,0
343,2019-12-09,0
344,2019-12-10,0
345,2019-12-11,0
346,2019-12-12,0
347,2019-12-13,0
348,2019-12-14,0
349,2019-12-15,10
350,2019-12-16,14
351,2019-12-17,0
352,2019-12-18,0
353,2019-12-19,10
354,2019-12-20,0
355,2019-12-21,0
356,2019-12-22,11
357,2019-12-23,22
358,2019-12-24,0
359,2019-12-25,18
360,2019-12-26,14
361,2019-12-27,4
362,2019-12-28,19
363,2019-12-29,0
364,2019-12-30,18
365,2019-12-31,0
366,2020-01-01,19
367,2020-01-02,0
368,2020-01-03,27
369,2020-01-04,0
370,2020-01-05,0
371,2020-01-06,25
372,2020-01-07,17
373,2020-01-08,13
374,2020-01-09,0
375,2020-01-10,0
376,2020-01-11,0
377,2020-01-12,0
378,2020-01-13,8
379,2020-01-14,0
380,2020-01-15,20
381,2020-01-16,0
382,2020-01-17,0
383,2020-01-18,15
384,2020-01-19,0
385,2020-01-20,28
386,2020-01-21,0
387,2020-01-22,13
388,2020-01-23,0
389,2020-01-24,2
390,2020-01-25,29
391,2020-01-26,0
392,2020-01-27,0
393,2020-01-28,0
394,2020-01-29,0
395,2020-01-30,14
396,2020-01-31,0
397,2020-02-01,19
398,2020-02-02,0
399,2020-02-03,0
400,2020-02-04,0
401,2020-02-05,0
402,2020-02-06,0
403,2020-02-07,0
404,2020-02-08,6
405,2020-02-09,0
406,2020-02-10,0
407,2020-02-11,29
408,2020-02-12,0
409,2020-02-13,1
410,2020-02-14,15
411,2020-02-15,6
412,2020-02-16,0
413,2020-02-17,0
414,2020-02-18,19
415,2020-02-19,8
416,2020-02-20,27
417,2020-02-21,2
418,2020-02-22,1
419,2020-02-23,0
420,2020-02-24,28
421,2020-02-25,0
422,2020-02-26,19
423,2020-02-27,0
424,2020-02-28,7
425,2020-02-29,9
426,2020-03-01,0
427,2020-03-02,14
428,2020-03-03,14
429,2020-03-04,0
430,2020-03-05,20
431,2020-03-06,0
432,2020-03-07,4
433,2020-03-08,0
434,2020-03-09,0
435,2020-03-10,0
436,2020-03-11,0
437,2020-03-12,0
438,2020-03-13,0
439,2020-03-14,27
440,2020-03-15,9
441,2020-03-16,1
442,2020-03-17,0
443,2020-03-18,30
444,2020-03-19,20
445,2020-03-20,6
446,2020-03-21,0
447,2020-03-22,0
448,2020-03-23,10
449,2020-03-24,0
450,2020-03-25,8
451,2020-03-26,0
452,2020-03-27,0
453,2020-03-28,0
454,2020-03-29,0
455,2020-03-30,26
456,2020-03-31,9
457,2020-04-01,18
458,2020-04-02,30
459,2020-04-03,0
460,2020-04-04,0
461,2020-04-05,4
462,2020-04-06,23
463,2020-04-07,11
464,2020-04-08,0
465,2020-04-09,10
466,2020-04-10,0
467,2020-04-11,0
468,2020-04-12,14
469,2020-04-13,15
470,2020-04-14,18
471,2020-04-15,11
472,2020-04-16,12
473,2020-04-17,0
474,2020-04-18,0
475,2020-04-19,4
476,2020-04-20,25
477,2020-04-21,0
478,2020-04-22,0
479,2020-04-23,0
480,2020-04-24,19
481,2020-04-25,16
482,2020-04-26,0
483,2020-04-27,1
484,2020-04-28,8
485,2020-04-29,19
486,2020-04-30,17
487,2020-05-01,8
488,2020-05-02,24
489,2020-05-03,0
490,2020-05-04,0
491,2020-05-05,4
492,2020-05-06,1
493,2020-05-07,23
494,2020-05-08,23
495,2020-05-09,0
496,2020-05-10,0
497,2020-05-11,0
498,2020-05-12,0
499,2020-05-13,0
500,2020-05-14,0
501,2020-05-15,30
502,2020-05-16,22
503,2020-05-17,29
504,2020-05-18,18
505,2020-05-19,22
506,2020-05-20,28
507,2020-05-21,0
508,2020-05-22,0
509,2020-05-23,0
510,2020-05-24,5
511,2020-05-25,1
512,2020-05-26,1
513,2020-05-27,0
514,2020-05-28,0
515,2020-05-29,15
516,2020-05-30,0
517,2020-05-31,10
518,2020-06-01,0
519,2020-06-02,0
520,2020-06-03,0
521,2020-06-04,3
522,2020-06-05,17
523,2020-06-06,26
524,2020-06-07,14
525,2020-06-08,0
526,2020-06-09,0
527,2020-06-10,0
528,2020-06-11,11
529,2020-06-12,3
530,2020-06-13,0
531,2020-06-14,12
532,2020-06-15,0
533,2020-06-16,12
534,2020-06-17,11
535,2020-06-18,0
536,2020-06-19,0
537,2020-06-20,11
538,2020-06-21,25
539,2020-06-22,0
540,2020-06-23,0
541,2020-06-24,0
542,2020-06-25,2
543,2020-06-26,6
544,2020-06-27,0
545,2020-06-28,8
546,2020-06-29,23
547,2020-06-30,27
548,2020-07-01,0
549,2020-07-02,1
550,2020-07-03,24
551,2020-07-04,0
552,2020-07-05,0
553,2020-07-06,0
554,2020-07-07,0
555,2020-07-08,0
556,2020-07-09,19
557,2020-07-10,3
558,2020-07-11,0
559,2020-07-12,13
560,2020-07-13,0
561,2020-07-14,11
562,2020-07-15,18
563,2020-07-16,7
564,2020-07-17,21
565,2020-07-18,0
566,2020-07-19,6
567,2020-07-20,1
568,2020-07-21,15
569,2020-07-22,15
570,2020-07-23,24
571,2020-07-24,12
572,2020-07-25,23
573,2020-07-26,0
574,2020-07-27,4
575,2020-07-28,0
576,2020-07-29,0
577,2020-07-30,0
578,2020-07-31,0
579,2020-08-01,17
580,2020-08-02,0
581,2020-08-03,0
582,2020-08-04,1
583,2020-08-05,0
584,2020-08-06,0
585,2020-08-07,22
586,2020-08-08,15
587,2020-08-09,0
588,2020-08-10,18
589,2020-08-11,0
590,2020-08-12,0
591,2020-08-13,29
592,2020-08-14,0
593,2020-08-15,0
594,2020-08-16,25
595,2020-08-17,1
596,2020-08-18,23
597,2020-08-19,0
598,2020-08-20,0
599,2020-08-21,0
600,2020-08-22,14
601,2020-08-23,0
602,2020-08-24,0
603,2020-08-25,0
604,2020-08-26,0
605,2020-08-27,0
606,2020-08-28,24
607,2020-08-29,0
608,2020-08-30,0
609,2020-08-31,26
610,2020-09-01,20
611,2020-09-02,0
612,2020-09-03,0
613,2020-09-04,0
614,2020-09-05,0
615,2020-09-06,13
616,2020-09-07,0
617,2020-09-08,0
618,2020-09-09,2
619,2020-09-10,27
620,2020-09-11,0
621,2020-09-12,0
622,2020-09-13,0
623,2020-09-14,0
624,2020-09-15,5
625,2020-09-16,0
626,2020-09-17,26
627,2020-09-18,0
628,2020-09-19,18
629,2020-09-20,19
630,2020-09-21,0
631,2020-09-22,0
632,2020-09-23,30
633,2020-09-24,24
634,2020-09-25,0
635,2020-09-26,8
636,2020-09-27,0
637,2020-09-28,14
638,2020-09-29,9
639,2020-09-30,17
640,2020-10-01,15
641,2020-10-02,0
642,2020-10-03,24
643,2020-10-04,4
644,2020-10-05,0
645,2020-10-06,3
646,2020-10-07,20
647,2020-10-08,0
648,2020-10-09,0
649,2020-10-10,0
650,2020-10-11,20
651,2020-10-12,0
652,2020-10-13,0
653,2020-10-14,0
654,2020-10-15,20
655,2020-10-16,19
656,2020-10-17,18
657,2020-10-18,0
658,2020-10-19,0
659,2020-10-20,15
660,2020-10-21,7
661,2020-10-22,25
662,2020-10-23,13
663,2020-10-24,5
664,2020-10-25,27
665,2020-10-26,0
666,2020-10-27,21
667,2020-10-28,29
668,2020-10-29,0
669,2020-10-30,0
670,2020-10-31,0
671,2020-11-01,10
672,2020-11-02,0
673,2020-11-03,12
674,2020-11-04,16
675,2020-11-05,0
676,2020-11-06,0
677,2020-11-07,0
678,2020-11-08,23
679,2020-11-09,14
680,2020-11-10,15
681,2020-11-11,24
682,2020-11-12,7
683,2020-11-13,0
684,2020-11-14,0
685,2020-11-15,30
686,2020-11-16,0
687,2020-11-17,0
688,2020-11-18,2
689,2020-11-19,7
690,2020-11-20,30
691,2020-11-21,0
692,2020-11-22,0
693,2020-11-23,0
694,2020-11-24,0
695,2020-11-25,0
696,2020-11-26,0
697,2020-11-27,23
698,2020-11-28,0
699,2020-11-29,0
700,2020-11-30,27
701,2020-12-01,3
702,2020-12-02,10
703,2020-12-03,15
704,2020-12-04,4
705,2020-12-05,3
706,2020-12-06,27
707,2020-12-07,29
708,2020-12-08,10
709,2020-12-09,0
710,2020-12-10,15
711,2020-12-11,0
712,2020-12-12,0
713,2020-12-13,0
714,2020-12-14,18
715,2020-12-15,29
716,2020-12-16,3
717,2020-12-17,25
718,2020-12-18,0
719,2020-12-19,0
720,2020-12-20,0
721,2020-12-21,10
722,2020-12-22,0
723,2020-12-23,30
724,2020-12-24,14
725,2020-12-25,8
726,2020-12-26,0
727,2020-12-27,29
728,2020-12-28,4
729,2020-12-29,0
730,2020-12-30,0
731,2020-12-31,0
732,2021-01-01,15
733,2021-01-02,4
734,2021-01-03,0
735,2021-01-04,0
736,2021-01-05,0
737,2021-01-06,0
738,2021-01-07,0
739,2021-01-08,0
740,2021-01-09,0
741,2021-01-10,0
742,2021-01-11,0
743,2021-01-12,0
744,2021-01-13,0
745,2021-01-14,11
746,2021-01-15,0
747,2021-01-16,20
748,2021-01-17,6
749,2021-01-18,0
750,2021-01-19,21
751,2021-01-20,1
752,2021-01-21,14
753,2021-01-22,21
754,2021-01-23,6
755,2021-01-24,0
756,2021-01-25,0
757,2021-01-26,0
758,2021-01-27,8
759,2021-01-28,26
760,2021-01-29,0
761,2021-01-30,0
762,2021-01-31,21
763,2021-02-01,0
764,2021-02-02,30
765,2021-02-03,30
766,2021-02-04,29
767,2021-02-05,0
768,2021-02-06,23
769,2021-02-07,0
770,2021-02-08,0
771,2021-02-09,3
772,2021-02-10,11
773,2021-02-11,20
774,2021-02-12,0
775,2021-02-13,0
776,2021-02-14,0
777,2021-02-15,24
778,2021-02-16,14
779,2021-02-17,17
780,2021-02-18,0
781,2021-02-19,15
782,2021-02-20,13
783,2021-02-21,0
784,2021-02-22,0
785,2021-02-23,0
786,2021-02-24,17
787,2021-02-25,0
788,2021-02-26,0
789,2021-02-27,1
790,2021-02-28,17
791,2021-03-01,2
792,2021-03-02,6
793,2021-03-03,14
794,2021-03-04,25
795,2021-03-05,11
796,2021-03-06,11
797,2021-03-07,1
798,2021-03-08,22
799,2021-03-09,0
800,2021-03-10,9
801,2021-03-11,0
802,2021-03-12,8
803,2021-03-13,0
804,2021-03-14,17
805,2021-03-15,0
806,2021-03-16,17
807,2021-03-17,0
808,2021-03-18,26
809,2021-03-19,0
810,2021-03-20,0
811,2021-03-21,4
812,2021-03-22,0
813,2021-03-23,18
814,2021-03-24,15
815,2021-03-25,23
816,2021-03-26,14
817,2021-03-27,21
818,2021-03-28,22
819,2021-03-29,0
820,2021-03-30,0
821,2021-03-31,0
822,2021-04-01,0
823,2021-04-02,18
824,2021-04-03,0
825,2021-04-04,0
826,2021-04-05,0
827,2021-04-06,0
828,2021-04-07,25
829,2021-04-08,0
830,2021-04-09,4
831,2021-04-10,11
832,2021-04-11,0
833,2021-04-12,30
834,2021-04-13,0
835,2021-04-14,0
836,2021-04-15,0
837,2021-04-16,0
838,2021-04-17,29
839,2021-04-18,19
840,2021-04-19,12
841,2021-04-20,0
842,2021-04-21,15
843,2021-04-22,16
844,2021-04-23,0
845,2021-04-24,0
846,2021-04-25,21
847,2021-04-26,12
848,2021-04-27,25
849,2021-04-28,3
850,2021-04-29,0
851,2021-04-30,8
852,2021-05-01,0
853,2021-05-02,0
854,2021-05-03,20
855,2021-05-04,18
856,2021-05-05,0
857,2021-05-06,0
858,2021-05-07,0
859,2021-05-08,2
860,2021-05-09,0
861,2021-05-10,0
862,2021-05-11,0
863,2021-05-12,20
864,2021-05-13,0
865,2021-05-14,0
866,2021-05-15,0
867,2021-05-16,20
868,2021-05-17,0
869,2021-05-18,0
870,2021-05-19,3
871,2021-05-20,0
872,2021-05-21,21
873,2021-05-22,0
874,2021-05-23,5
875,2021-05-24,30
876,2021-05-25,13
877,2021-05-26,12
878,2021-05-27,2
879,2021-05-28,21
880,2021-05-29,0
881,2021-05-30,27
882,2021-05-31,27
883,2021-06-01,0
884,2021-06-02,0
885,2021-06-03,7
886,2021-06-04,28
887,2021-06-05,4
888,2021-06-06,7
889,2021-06-07,0
890,2021-06-08,6
891,2021-06-09,0
892,2021-06-10,11
893,2021-06-11,0
894,2021-06-12,0
895,2021-06-13,1
896,2021-06-14,0
897,2021-06-15,0
898,2021-06-16,0
899,2021-06-17,0
900,2021-06-18,22
901,2021-06-19,26
902,2021-06-20,0
903,2021-06-21,0
904,2021-06-22,0
905,2021-06-23,0
906,2021-06-24,0
907,2021-06-25,14
908,2021-06-26,0
909,2021-06-27,0
910,2021-06-28,20
911,2021-06-29,18
912,2021-06-30,0
913,2021-07-01,0
914,2021-07-02,0
915,2021-07-03,16
916,2021-07-04,2
917,2021-07-05,0
918,2021-07-06,14
919,2021-07-07,25
920,2021-07-08,0
921,2021-07-09,4
922,2021-07-10,0
923,2021-07-11,0
924,2021-07-12,3
925,2021-07-13,0
926,2021-07-14,0
927,2021-07-15,0
928,2021-07-16,20
929,2021-07-17,0
930,2021-07-18,0
931,2021-07-19,14
932,2021-07-20,0
933,2021-07-21,0
934,2021-07-22,0
935,2021-07-23,24
936,2021-07-24,25
937,2021-07-25,0
938,2021-07-26,0
939,2021-07-27,0
940,2021-07-28,29
941,2021-07-29,0
942,2021-07-30,0
943,2021-07-31,0
944,2021-08-01,18
945,2021-08-02,15
946,2021-08-03,0
947,2021-08-04,7
948,2021-08-05,8
949,2021-08-06,13
950,2021-08-07,0
951,2021-08-08,11
952,2021-08-09,0
953,2021-08-10,0
954,2021-08-11,0
955,2021-08-12,0
956,2021-08-13,17
957,2021-08-14,0
958,2021-08-15,0
959,2021-08-16,23
960,2021-08-17,3
961,2021-08-18,6
962,2021-08-19,0
963,2021-08-20,0
964,2021-08-21,9
965,2021-08-22,0
966,2021-08-23,7
967,2021-08-24,26
968,2021-08-25,0
969,2021-08-26,23
970,2021-08-27,0
971,2021-08-28,26
972,2021-08-29,0
973,2021-08-30,4
974,2021-08-31,20
975,2021-09-01,20
976,2021-09-02,8
977,2021-09-03,5
978,2021-09-04,0
979,2021-09-05,0
980,2021-09-06,10
981,2021-09-07,0
982,2021-09-08,0
983,2021-09-09,0
984,2021-09-10,20
985,2021-09-11,0
986,2021-09-12,0
987,2021-09-13,0
988,2021-09-14,0
989,2021-09-15,2
990,2021-09-16,0
991,2021-09-17,0
992,2021-09-18,2
993,2021-09-19,0
994,2021-09-20,0
995,2021-09-21,0
996,2021-09-22,0
997,2021-09-23,0
998,2021-09-24,21
999,2021-09-25,9
1000,2021-09-26,0
1001,2021-09-27,0
1002,2021-09-28,0
1003,2021-09-29,16
1004,2021-09-30,0
1005,2021-10-01,12
1006,2021-10-02,0
1007,2021-10-03,23
1008,2021-10-04,0
1009,2021-10-05,0
1010,2021-10-06,26
1011,2021-10-07,0
1012,2021-10-08,21
1013,2021-10-09,0
1014,2021-10-10,20
1015,2021-10-11,0
1016,2021-10-12,17
1017,2021-10-13,21
1018,2021-10-14,0
1019,2021-10-15,9
1020,2021-10-16,0
1021,2021-10-17,0
1022,2021-10-18,23
1023,2021-10-19,0
1024,2021-10-20,30
1025,2021-10-21,27
1026,2021-10-22,0
1027,2021-10-23,25
1028,2021-10-24,19
1029,2021-10-25,0
1030,2021-10-26,17
1031,2021-10-27,0
1032,2021-10-28,3
1033,2021-10-29,23
1034,2021-10-30,1
1035,2021-10-31,0
1036,2021-11-01,23
1037,2021-11-02,8
1038,2021-11-03,24
1039,2021-11-04,9
1040,2021-11-05,0
1041,2021-11-06,0
1042,2021-11-07,18
1043,2021-11-08,6
1044,2021-11-09,0
1045,2021-11-10,6
1046,2021-11-11,7
1047,2021-11-12,15
1048,2021-11-13,0
1049,2021-11-14,6
1050,2021-11-15,26
1051,2021-11-16,0
1052,2021-11-17,0
1053,2021-11-18,6
1054,2021-11-19,25
1055,2021-11-20,12
1056,2021-11-21,13
1057,2021-11-22,25
1058,2021-11-23,28
1059,2021-11-24,29
1060,2021-11-25,11
1061,2021-11-26,0
1062,2021-11-27,17
1063,2021-11-28,20
1064,2021-11-29,0
1065,2021-11-30,0
1066,2021-12-01,2
1067,2021-12-02,0
1068,2021-12-03,24
1069,2021-12-04,15
1070,2021-12-05,17
1071,2021-12-06,12
1072,2021-12-07,4
1073,2021-12-08,30
1074,2021-12-09,0
1075,2021-12-10,4
1076,2021-12-11,0
1077,2021-12-12,14
1078,2021-12-13,5
1079,2021-12-14,7
1080,2021-12-15,29
1081,2021-12-16,0
1082,2021-12-17,0
1083,2021-12-18,0
1084,2021-12-19,0
1085,2021-12-20,0
1086,2021-12-21,0
1087,2021-12-22,15
1088,2021-12-23,0
1089,2021-12-24,0
1090,2021-12-25,15
1091,2021-12-26,8
1092,2021-12-27,0
1093,2021-12-28,14
1094,2021-12-29,16
1095,2021-12-30,25
1096,2021-12-31,0
